#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321ABE1FF
#Date Time: 2022-11-03 11:57:15.263

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,-0.004190673327823852,0.03225836524288259,0.03198500250434057,-0.01590062813052838,0.01591044340267058,0.0005587793162673217
1,-0.00368986591007045,0.03015030173192453,0.02992366261158149,-0.01582075366360483,0.0158376745943057,0.0007319085125227758
2,-0.003320018051513193,0.02921304313109548,0.02902377248251535,-0.01602497815289794,0.01603864814836823,0.0006620495648763599
3,-0.003440139578224117,0.02925254677990496,0.02904955994146565,-0.01590607411690953,0.01592045656840372,0.000676567464385182
4,-0.003607677497057739,0.02903839852084545,0.02881342138193051,-0.01587203670202731,0.01589053426306511,0.000766505117528225
5,-0.004193382835945172,0.02903229916530551,0.02872785991359199,-0.01578807774531794,0.0158085949294966,0.0008051551109906898
6,-0.004535684028602563,0.03079961806429439,0.03046381531094065,-0.01575767098802323,0.01578041738340504,0.0008469815982285946
7,-0.005063586527568939,0.02905282955578431,0.0286081631125671,-0.01574405602207035,0.015768370379462,0.0008753310218760876
8,-0.004085002511093185,0.02889460725405547,0.02860438922351732,-0.01571001860718816,0.0157371940213312,0.0009244409266569405
9,-0.003890821095733424,0.02895379411136942,0.02869117816759213,-0.0155874839136123,0.01562608539158063,0.001097674773281747
10,-0.004422787856881765,0.02930693785804981,0.02897128844543495,-0.01556751529688142,0.01560829621684404,0.001127554111412589
11,-0.003851533227974612,0.02934190755115638,0.02908802555235416,-0.01577219361837293,0.01579219614040125,0.0007945863084103745
12,-0.003982041202483849,0.02941219024976179,0.02914138437256935,-0.01585615257508234,0.01587708966378626,0.000815108402405144
13,-0.003679931046959035,0.02945810514087984,0.02922735133365299,-0.01583573012615303,0.01585683832608185,0.0008179077400301528
14,-0.004119322947296337,0.0293548163642705,0.02906434967852998,-0.01580623103325512,0.01582934094301877,0.0008550410596841584
15,-0.00413603158071101,0.02950055094841555,0.02920917234403223,-0.01579533906049286,0.01581516838426062,0.0007917164812232261
16,-0.004619678780362855,0.03008712960589928,0.02973035378007412,-0.01585978323266976,0.01587446470433487,0.0006825726788808624
17,-0.004609743917251401,0.0298634102153822,0.02950548306178982,-0.01588655933237706,0.01589872971409213,0.0006219639062462014
18,-0.004436335397488262,0.02972682969682207,0.02939393359291654,-0.01591469692867969,0.01592723417401401,0.0006318307544014676
19,-0.004198801852187742,0.02972712570777519,0.02942910236231953,-0.01549989429931554,0.01554662681363395,0.001204525629657303
20,-0.004505427854581428,0.03059892303970888,0.03026541278484773,-0.01561108318793064,0.01564755341918864,0.001067712370409577
