#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321ABE1FF
#Date Time: 2022-11-03 11:57:15.263

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
21,-0.004105775406689819,0.0293616504033342,0.02907316843272215,-0.01574133302887975,0.01576540336637988,0.0008708488839137954
22,-0.003413044497011113,0.02933684374169628,0.02913763078882939,-0.01607943801670937,0.01609897347613638,0.0007928556313697325
23,-0.003563873782430078,0.02946263674937653,0.02924629494292581,-0.01598731008042828,0.01600079757087478,0.0006568403888327168
24,-0.00393733431848242,0.03066486315529374,0.03041103797632341,-0.01583527629395457,0.01585004951883764,0.0006841742788056324
25,-0.004054746337072066,0.02975101035730894,0.02947340579951219,-0.01594283452498226,0.01595505322128211,0.000624300090527051
26,-0.003803213666478181,0.02909774579243754,0.02884812603980255,-0.01600682486496079,0.01601943717756177,0.0006355511217635998
27,-0.003945011258159286,0.02812911572550031,0.02785110478368087,-0.01603087797147747,0.01604498403251329,0.0006726544932257192
28,-0.004175319448469764,0.004706878833816484,0.002172881924877685,-0.01598776391262673,0.01599729500610632,0.0005521345728701574
29,-0.004436335397488252,0.004913123993799082,0.00211133029614939,-0.01611256776719472,0.0161331558214344,0.0008147862948595879
30,-0.004399757037850732,0.004881901298932783,0.002115442814260377,-0.01609986046563863,0.01612404888366732,0.0008828620446654594
31,-0.004451237692155397,0.004942716056358269,0.002148703102273208,-0.0161919884019198,0.01621981455952256,0.0009496820191239796
32,-0.004271958571462738,0.004780888233688895,0.002146453415924022,-0.01645158041942108,0.01650253630199554,0.001295841850709497
33,-0.00477186281984255,0.005210899157973673,0.002093512661336919,-0.01598050259745188,0.0159930120620534,0.000632433039834542
34,-0.004286860866129926,0.004807125223949063,0.002175149841544742,-0.0159215044116561,0.01592975678054079,0.0005126873870644219
35,-0.003731863285950399,0.004325490199730145,0.002187021235136133,-0.01602497815289787,0.01604443306584427,0.0007898782207116375
36,-0.004119774531983119,0.004652619592751321,0.002162019167462939,-0.01594192686058543,0.01595435786686521,0.0006296847749497331
37,-0.003420269852001047,0.004057772535490643,0.002183408365211353,-0.01587022137323362,0.01588095920584403,0.0005838997022562856
38,-0.00349252340190234,0.004113845300080402,0.002173937312839967,-0.01593784237079957,0.01594768451307625,0.0005601980830143063
39,-0.003688059571322736,0.004299167761255339,0.002209312118690325,-0.01603632395785866,0.01605081414888581,0.0006818715133614942
40,-0.004354146984475516,0.004868605723548092,0.002178239134931881,-0.01580123887907244,0.01582116718716613,0.0007938394364143418
41,-0.003772505907769869,0.004367271633334642,0.002200286502974393,-0.01590289729152051,0.01591139124430552,0.0005198356132146462
42,-0.004037134534283475,0.004588699319887777,0.002181216678928231,-0.01594601135037127,0.01595352119261988,0.0004894491365365401
43,-0.003733669624697944,0.0043454708229502,0.002223247131274349,-0.01594601135037129,0.01595489602147771,0.0005323805688128533
44,-0.003554842088692245,0.004195847705829411,0.002228953946356154,-0.01605856173558163,0.01607535073628741,0.0007345041042908506
45,-0.003460009304446778,0.004093750632377316,0.002187951062805449,-0.01589881280173466,0.01591063952831088,0.0006133528310045548
46,-0.003175059367023527,0.003869537296341776,0.002211858246736631,-0.01591923525066397,0.01592965740676236,0.000576137250045892
47,-0.00335614482646366,0.004014395140099587,0.002202648461433812,-0.01582846881097815,0.01584208342213241,0.0006566446936881884
48,-0.003596839464572356,0.004230381985520545,0.002226853746771772,-0.01568505783627457,0.0157133399992359,0.0009423452681276332
49,-0.003432462638546882,0.004067440489255584,0.002182263130013229,-0.01576901679298394,0.01578914943606498,0.0007970880108467098
50,-0.003067582211545351,0.003782965116404503,0.002213767026437981,-0.01556933062567515,0.01560950154474113,0.001119143576018332
51,-0.003569292798672477,0.004184216639373481,0.002183533329847411,-0.01558249175942959,0.01562115395570603,0.001098363088978898
52,-0.003706574543484955,0.004303827524289172,0.002187289764164465,-0.01577990876574621,0.0158013166513855,0.0008222452566788977
53,-0.003497039248771202,0.004148071671540456,0.002230967298009987,-0.01603813928665237,0.01605093509543408,0.0006407851900813176
54,-0.003881789401995625,0.004451432783705014,0.002178753053101327,-0.01612482123655234,0.01614677372086919,0.0008416897779071581
55,-0.003558454766187297,0.004184966825809871,0.002202577356218868,-0.01603587012566022,0.01604936473278615,0.0006580103639083121
56,-0.004327955072636358,0.00484456974346465,0.002176846546850861,-0.01634311452399655,0.01638399571608994,0.00115668633623627
57,-0.004523491242056751,0.00500590119763097,0.002144078772685589,-0.01747860268446569,0.01757424530255462,0.001830995945647344
58,,,,,,
59,,,,,,
